Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Component_Type,Ground_Truth
C0046,L01,10.012,10.686,11.858,13.312,Normal,Normal
C0047,L01,10.477,11.107,23.802,27.301,Sudden_Degradation,Anomaly
C0048,L01,10.083,10.411,12.106,12.359,Normal,Normal
C0049,L01,10.343,10.521,11.253,12.119,Normal,Normal
C0050,L01,10.78,11.306,12.087,13.173,Normal,Normal
C0051,L01,10.023,10.392,11.801,13.133,Normal,Normal
C0052,L01,10.008,10.596,11.397,12.738,Normal,Normal
C0053,L01,9.604,10.081,10.849,12.514,Normal,Normal
C0054,L01,9.833,10.269,11.799,12.961,Normal,Normal
C0055,L01,9.37,17.287,30.042,47.345,Latent_Defect,Anomaly
C0056,L01,9.337,10.205,11.585,12.302,Normal,Normal
C0057,L01,10.222,10.877,11.871,12.498,Normal,Normal
C0058,L01,9.353,9.832,11.321,11.749,Normal,Normal
C0059,L01,9.78,10.306,11.324,13.263,Normal,Normal
C0060,L01,10.202,10.884,11.944,12.704,Normal,Normal
C0061,L01,10.035,10.458,21.663,27.944,Sudden_Degradation,Anomaly
C0062,L01,9.692,10.615,11.569,12.804,Normal,Normal
C0063,L01,10.14,10.516,11.781,12.596,Normal,Normal
C0064,L01,9.689,10.118,11.388,12.511,Normal,Normal
C0065,L01,10.406,11.032,12.198,12.914,Normal,Normal
C0066,L01,9.106,10.618,16.056,23.853,Gradual_Degradation,Anomaly
C0067,L01,9.891,12.331,17.004,25.266,Gradual_Degradation,Anomaly
C0068,L01,10.006,12.378,17.924,25.614,Gradual_Degradation,Anomaly
C0069,L01,10.162,17.032,32.857,48.987,Latent_Defect,Anomaly
C0070,L01,9.104,9.515,10.862,12.179,Normal,Normal
C0071,L01,10.312,10.938,11.728,12.724,Normal,Normal
C0072,L01,8.955,9.809,23.158,27.837,Sudden_Degradation,Anomaly
C0073,L01,10.206,10.594,11.464,12.545,Normal,Normal
C0074,L01,10.28,10.954,11.52,11.957,Normal,Normal
C0075,L01,9.641,11.555,14.926,24.496,Gradual_Degradation,Anomaly
C0076,L01,9.849,10.348,11.445,12.114,Normal,Normal
C0077,L01,10.26,18.792,27.901,40.213,Latent_Defect,Anomaly
C0078,L01,9.828,17.286,29.734,43.759,Latent_Defect,Anomaly
C0079,L01,10.049,16.276,32.827,47.64,Latent_Defect,Anomaly
C0080,L01,9.784,10.656,11.918,12.991,Normal,Normal
C0081,L01,11.095,11.433,12.386,12.844,Normal,Normal
C0082,L01,10.516,10.654,11.757,13.507,Normal,Normal
C0083,L01,10.475,10.86,12.082,13.673,Normal,Normal
C0084,L01,10.35,10.824,28.183,32.713,Sudden_Degradation,Anomaly
C0085,L01,9.143,17.497,30.049,44.606,Latent_Defect,Anomaly
C0086,L01,8.774,9.094,10.095,11.114,Normal,Normal
C0087,L01,9.775,10.4,10.989,12.203,Normal,Normal
C0088,L01,10.53,11.338,12.438,13.139,Normal,Normal
C0089,L01,10.776,11.299,12.35,13.811,Normal,Normal
C0090,L01,10.513,11.047,12.24,13.788,Normal,Normal
C0091,L01,9.518,10.155,10.635,12.213,Normal,Normal
C0092,L01,10.443,10.916,12.366,13.396,Normal,Normal
C0093,L01,10.814,11.038,26.009,31.805,Sudden_Degradation,Anomaly
C0094,L01,9.859,15.195,23.06,36.881,Latent_Defect,Anomaly
C0095,L01,9.348,9.982,10.651,11.846,Normal,Normal
C0096,L01,10.374,10.816,11.52,12.721,Normal,Normal
C0097,L01,9.735,10.076,10.646,11.569,Normal,Normal
C0098,L01,10.029,10.072,10.862,11.948,Normal,Normal
C0099,L01,9.944,11.855,16.266,24.846,Gradual_Degradation,Anomaly
C0100,L01,9.726,9.981,10.526,12.073,Normal,Normal
C0101,L02,10.822,11.273,12.528,13.133,Normal,Normal
C0102,L02,10.014,10.708,11.67,12.287,Normal,Normal
C0103,L02,9.197,9.737,10.681,11.662,Normal,Normal
C0104,L02,9.469,9.838,11.345,12.697,Normal,Normal
C0105,L02,9.996,10.792,12.504,13.91,Normal,Normal
C0106,L02,9.78,10.596,11.333,11.78,Normal,Normal
C0107,L02,10.463,11.345,12.353,13.404,Normal,Normal
C0108,L02,9.819,10.272,11.076,11.882,Normal,Normal
C0109,L02,9.704,10.031,10.28,11.554,Normal,Normal
C0110,L02,10.195,10.678,24.525,30.28,Sudden_Degradation,Anomaly
C0111,L02,10.25,10.555,29.642,36.261,Sudden_Degradation,Anomaly
C0112,L02,10.467,10.814,11.585,11.863,Normal,Normal
C0113,L02,9.186,9.696,10.239,11.558,Normal,Normal
C0114,L02,9.43,9.984,10.788,11.807,Normal,Normal
C0115,L02,9.57,9.993,10.812,12.116,Normal,Normal
C0116,L02,10.553,11.207,11.466,12.147,Normal,Normal
C0117,L02,10.289,12.207,17.343,25.432,Gradual_Degradation,Anomaly
C0118,L02,10.244,12.876,18.146,25.734,Gradual_Degradation,Anomaly
C0119,L02,9.756,10.17,11.333,12.747,Normal,Normal
C0120,L02,8.896,9.468,26.871,31.462,Sudden_Degradation,Anomaly
C0121,L02,8.981,9.279,10.595,11.257,Normal,Normal
C0122,L02,9.21,9.713,26.372,29.161,Sudden_Degradation,Anomaly
C0123,L02,10.118,10.772,11.822,13.049,Normal,Normal
C0124,L02,9.563,11.402,16.909,27.179,Gradual_Degradation,Anomaly
C0125,L02,10.091,10.641,11.313,11.986,Normal,Normal
C0126,L02,10.755,11.335,28.41,32.9,Sudden_Degradation,Anomaly
C0127,L02,9.865,11.474,16.132,23.579,Gradual_Degradation,Anomaly
C0128,L02,10.482,11.177,12.301,14.051,Normal,Normal
C0129,L02,9.613,9.864,10.915,12.25,Normal,Normal
C0130,L02,9.555,9.59,25.15,29.024,Sudden_Degradation,Anomaly
C0131,L02,11.223,11.749,13.283,14.519,Normal,Normal
C0132,L02,10.108,10.697,12.261,13.8,Normal,Normal
C0133,L02,10.797,11.194,26.014,31.795,Sudden_Degradation,Anomaly
C0134,L02,11.269,11.874,12.827,13.656,Normal,Normal
C0135,L02,9.494,9.663,10.594,11.845,Normal,Normal
C0136,L02,10.635,10.971,11.893,12.292,Normal,Normal
C0137,L02,9.877,10.323,11.564,12.501,Normal,Normal
C0138,L02,10.54,10.671,11.591,12.148,Normal,Normal
C0139,L02,11.287,11.799,12.564,13.833,Normal,Normal
C0140,L02,9.943,10.474,11.464,12.246,Normal,Normal
C0141,L02,9.644,11.686,17.797,23.138,Gradual_Degradation,Anomaly
C0142,L02,8.961,9.213,10.11,10.961,Normal,Normal
C0143,L02,9.296,9.641,10.532,11.504,Normal,Normal
C0144,L02,10.243,10.588,11.805,12.353,Normal,Normal
C0145,L02,9.738,10.336,11.23,12.139,Normal,Normal
C0146,L02,10.407,10.719,24.997,31.156,Sudden_Degradation,Anomaly
C0147,L02,9.459,10.083,10.582,12.288,Normal,Normal
C0148,L02,9.379,9.716,10.249,11.491,Normal,Normal
C0149,L02,9.36,10.211,10.685,11.467,Normal,Normal
C0150,L02,10.486,12.474,17.183,25.126,Gradual_Degradation,Anomaly
C0151,L02,10.154,10.312,11.125,11.958,Normal,Normal
C0152,L02,9.356,9.876,10.935,11.543,Normal,Normal
C0153,L02,10.204,10.364,11.223,12.434,Normal,Normal
C0154,L02,10.81,11.624,12.072,12.56,Normal,Normal
C0155,L02,9.688,10.193,11.088,12.168,Normal,Normal
C0156,L02,9.283,9.899,10.622,11.081,Normal,Normal
C0157,L02,9.512,10.223,11.847,12.725,Normal,Normal
C0158,L02,10.048,10.583,11.411,12.46,Normal,Normal
C0159,L02,11.28,11.761,12.655,13.752,Normal,Normal
C0160,L02,10.09,10.523,11.335,13.06,Normal,Normal
C0161,L02,10.354,12.129,16.259,25.188,Gradual_Degradation,Anomaly
C0162,L02,9.119,9.847,10.825,12.073,Normal,Normal
C0163,L02,10.089,10.322,26.955,32.574,Sudden_Degradation,Anomaly
C0164,L02,10.643,13.068,18.012,24.351,Gradual_Degradation,Anomaly
C0165,L02,10.215,10.756,12.002,13.055,Normal,Normal
C0166,L02,10.223,17.01,28.931,44.294,Latent_Defect,Anomaly
C0167,L02,10.014,10.52,11.099,12.299,Normal,Normal
C0168,L02,9.479,11.99,16.84,24.401,Gradual_Degradation,Anomaly
C0169,L02,10.723,11.263,12.523,13.636,Normal,Normal
C0170,L02,9.325,9.942,10.967,12.393,Normal,Normal
C0171,L02,9.741,10.523,11.799,12.925,Normal,Normal
C0172,L02,9.159,10.456,15.12,22.838,Gradual_Degradation,Anomaly
C0173,L02,9.328,9.644,10.064,10.581,Normal,Normal
C0174,L02,9.465,10.101,27.07,31.856,Sudden_Degradation,Anomaly
C0175,L02,9.975,10.61,11.96,13.609,Normal,Normal
C0176,L02,9.215,9.73,10.543,11.321,Normal,Normal
C0177,L02,9.681,10.419,11.307,11.838,Normal,Normal
C0178,L02,10.398,11.108,11.942,13.195,Normal,Normal
C0179,L02,10.101,10.298,11.046,12.112,Normal,Normal
C0180,L02,9.819,10.435,11.521,12.655,Normal,Normal
C0181,L02,10.329,11.231,11.707,12.204,Normal,Normal
C0182,L02,10.442,10.752,11.597,12.686,Normal,Normal
C0183,L02,9.992,10.729,12.091,13.228,Normal,Normal
C0184,L02,10.662,10.936,12.111,12.967,Normal,Normal
C0185,L02,10.295,11.017,26.828,32.543,Sudden_Degradation,Anomaly
C0186,L02,10.251,10.923,12.337,13.597,Normal,Normal
C0187,L02,9.916,10.446,11.239,12.437,Normal,Normal
C0188,L02,10.209,10.789,11.847,12.865,Normal,Normal
C0189,L02,9.32,9.969,11.418,12.503,Normal,Normal
C0190,L02,10.133,10.553,11.524,12.636,Normal,Normal
C0191,L02,10.304,10.841,11.894,13.057,Normal,Normal
C0192,L02,9.907,11.745,16.851,24.151,Gradual_Degradation,Anomaly
C0193,L02,10.598,10.793,11.903,12.693,Normal,Normal
C0194,L02,9.934,11.12,15.676,25.557,Gradual_Degradation,Anomaly
C0195,L02,9.276,9.336,10.531,11.926,Normal,Normal
C0196,L02,10.561,11.323,12.518,13.478,Normal,Normal
C0197,L02,10.923,11.209,12.479,13.396,Normal,Normal
C0198,L02,9.645,10.011,10.635,12.213,Normal,Normal
C0199,L02,9.959,18.076,30.616,44.155,Latent_Defect,Anomaly
C0200,L02,10.354,12.643,18.157,27.486,Gradual_Degradation,Anomaly
C0201,L03,10.098,12.382,16.557,24.508,Gradual_Degradation,Anomaly
C0202,L03,10.187,10.536,11.524,11.952,Normal,Normal
C0203,L03,10.064,10.428,11.237,12.636,Normal,Normal
C0204,L03,9.862,10.356,11.221,11.251,Normal,Normal
C0205,L03,9.208,9.86,10.972,12.163,Normal,Normal
C0206,L03,9.988,10.374,11.373,11.909,Normal,Normal
C0207,L03,10.752,11.427,12.164,13.179,Normal,Normal
C0208,L03,9.865,10.348,11.048,11.935,Normal,Normal
C0209,L03,10.899,13.155,17.76,25.315,Gradual_Degradation,Anomaly
C0210,L03,10.138,11.818,16.866,24.219,Gradual_Degradation,Anomaly
C0211,L03,10.349,12.507,17.043,26.132,Gradual_Degradation,Anomaly
C0212,L03,10.057,12.437,19.098,26.408,Gradual_Degradation,Anomaly
C0213,L03,10.868,11.408,12.098,12.886,Normal,Normal
C0214,L03,10.309,11.035,12.553,13.728,Normal,Normal
C0215,L03,10.019,10.543,11.392,12.477,Normal,Normal
C0216,L03,10.546,12.501,17.115,26.689,Gradual_Degradation,Anomaly
C0217,L03,9.387,14.923,23.799,41.803,Latent_Defect,Anomaly
C0218,L03,9.947,10.803,25.458,31.342,Sudden_Degradation,Anomaly
C0219,L03,10.326,10.511,26.577,30.323,Sudden_Degradation,Anomaly
C0220,L03,10.688,11.344,12.492,13.596,Normal,Normal
C0221,L03,9.725,16.053,28.701,42.118,Latent_Defect,Anomaly
C0222,L03,9.175,9.665,26.208,28.36,Sudden_Degradation,Anomaly
C0223,L03,10.574,10.726,11.839,12.804,Normal,Normal
C0224,L03,10.404,10.654,11.514,12.653,Normal,Normal
C0225,L03,9.977,10.572,10.943,12.045,Normal,Normal
C0226,L03,9.87,10.617,12.067,13.407,Normal,Normal
C0227,L03,9.826,10.256,11.51,12.999,Normal,Normal
C0228,L03,10.607,12.571,18.396,26.634,Gradual_Degradation,Anomaly
C0229,L03,9.87,10.331,11.346,12.071,Normal,Normal
C0230,L03,9.935,10.228,25.385,28.387,Sudden_Degradation,Anomaly
C0231,L03,10.458,11.027,11.397,13.572,Normal,Normal
C0232,L03,9.564,10.145,11.478,12.062,Normal,Normal
C0233,L03,10.306,16.253,28.806,41.505,Latent_Defect,Anomaly
C0234,L03,10.537,11.004,12.265,13.463,Normal,Normal
C0235,L03,10.075,10.648,11.937,13.06,Normal,Normal
C0236,L03,9.776,10.289,27.5,33.687,Sudden_Degradation,Anomaly
C0237,L03,10.319,10.591,11.359,12.478,Normal,Normal
C0238,L03,10.503,12.402,18.693,27.146,Gradual_Degradation,Anomaly
C0239,L03,9.878,10.571,11.885,13.113,Normal,Normal
C0240,L03,10.361,10.988,11.943,12.993,Normal,Normal
C0241,L03,9.913,10.417,11.033,11.376,Normal,Normal
C0242,L03,9.557,10.368,11.176,11.647,Normal,Normal
C0243,L03,10.821,11.523,11.848,12.575,Normal,Normal
C0244,L03,10.03,10.755,11.338,11.68,Normal,Normal
C0245,L03,10.511,11.499,12.703,13.933,Normal,Normal
C0246,L03,9.874,10.452,23.944,28.663,Sudden_Degradation,Anomaly
C0247,L03,9.154,9.634,10.925,11.678,Normal,Normal
C0248,L03,9.044,9.623,10.326,11.703,Normal,Normal
C0249,L03,9.509,9.964,10.673,11.893,Normal,Normal
C0250,L03,10.923,11.468,11.99,13.166,Normal,Normal
C0251,L03,9.99,12.211,16.748,24.812,Gradual_Degradation,Anomaly
C0252,L03,10.236,10.764,11.778,12.795,Normal,Normal
C0253,L03,9.649,10.016,11.361,12.241,Normal,Normal
C0254,L03,9.862,10.513,11.297,12.655,Normal,Normal
C0255,L03,9.853,10.602,11.674,12.361,Normal,Normal
C0256,L03,11.111,11.364,12.554,13.719,Normal,Normal
C0257,L03,9.907,10.381,11.749,13.398,Normal,Normal
C0258,L03,9.232,9.785,10.759,12.79,Normal,Normal
C0259,L03,9.598,10.426,11.719,13.161,Normal,Normal
C0260,L03,10.151,10.545,11.431,12.349,Normal,Normal
C0261,L03,9.709,10.006,10.83,11.751,Normal,Normal
C0262,L03,9.62,11.634,16.821,23.265,Gradual_Degradation,Anomaly
C0263,L03,10.165,10.832,11.48,11.987,Normal,Normal
C0264,L03,10.347,13.126,17.562,25.506,Gradual_Degradation,Anomaly
C0265,L03,10.279,10.794,11.497,12.749,Normal,Normal
C0266,L03,9.543,10.059,10.838,12.333,Normal,Normal
C0267,L03,10.546,11.167,25.1,28.693,Sudden_Degradation,Anomaly
C0268,L03,10.036,12.349,19.204,27.597,Gradual_Degradation,Anomaly
C0269,L03,10.096,10.534,11.685,12.918,Normal,Normal
C0270,L03,9.465,9.787,10.236,11.439,Normal,Normal
C0271,L03,9.448,9.518,10.769,11.781,Normal,Normal
C0272,L03,10.126,10.625,25.789,30.69,Sudden_Degradation,Anomaly
C0273,L03,10.46,10.901,27.038,32.638,Sudden_Degradation,Anomaly
C0274,L03,9.746,10.199,11.36,12.001,Normal,Normal
C0275,L03,10.014,10.512,11.445,12.524,Normal,Normal
C0276,L03,11.232,13.112,18.121,24.809,Gradual_Degradation,Anomaly
C0277,L03,9.467,9.906,11.059,12.08,Normal,Normal
C0278,L03,9.099,9.469,10.188,11.13,Normal,Normal
C0279,L03,9.395,10.015,10.725,11.892,Normal,Normal
C0280,L03,9.656,16.593,28.89,42.216,Latent_Defect,Anomaly
C0281,L03,9.693,10.133,11.138,11.846,Normal,Normal
C0282,L03,9.233,9.915,10.149,11.523,Normal,Normal
C0283,L03,9.317,9.772,11.134,12.007,Normal,Normal
C0284,L03,10.439,11.092,11.919,11.882,Normal,Normal
C0285,L03,9.727,10.305,11.007,11.995,Normal,Normal
C0286,L03,9.02,11.844,16.822,23.889,Gradual_Degradation,Anomaly
C0287,L03,9.778,11.424,14.582,22.137,Gradual_Degradation,Anomaly
C0288,L03,9.563,10.652,15.117,24.157,Gradual_Degradation,Anomaly
C0289,L03,9.697,10.562,11.536,12.904,Normal,Normal
C0290,L03,10.705,11.448,29.052,35.613,Sudden_Degradation,Anomaly
C0291,L03,10.016,10.365,11.392,13.081,Normal,Normal
C0292,L03,9.886,10.404,11.294,12.368,Normal,Normal
C0293,L03,9.326,9.632,10.836,12.299,Normal,Normal
C0294,L03,9.774,10.187,11.543,12.83,Normal,Normal
C0295,L03,10.498,10.847,11.471,12.27,Normal,Normal
C0296,L03,10.141,11.77,17.135,27.3,Gradual_Degradation,Anomaly
C0297,L03,9.678,17.606,32.517,50.116,Latent_Defect,Anomaly
C0298,L03,10.373,10.992,11.882,12.546,Normal,Normal
C0299,L03,9.478,9.584,10.758,11.817,Normal,Normal
C0300,L03,9.758,10.192,11.284,12.61,Normal,Normal
C0301,L04,10.43,10.814,27.489,31.675,Sudden_Degradation,Anomaly
C0302,L04,10.607,12.551,18.081,27.255,Gradual_Degradation,Anomaly
C0303,L04,10.091,15.794,27.605,41.433,Latent_Defect,Anomaly
C0304,L04,10.406,11.022,12.393,13.402,Normal,Normal
C0305,L04,10.154,10.995,11.425,12.456,Normal,Normal
C0306,L04,10.906,11.53,29.11,34.783,Sudden_Degradation,Anomaly
C0307,L04,9.931,10.186,11.434,12.064,Normal,Normal
C0308,L04,10.644,11.059,12.56,13.718,Normal,Normal
C0309,L04,9.402,9.991,11.074,12.656,Normal,Normal
C0310,L04,9.275,9.554,10.771,11.621,Normal,Normal
C0311,L04,10.863,11.284,22.886,29.343,Sudden_Degradation,Anomaly
C0312,L04,10.841,11.19,11.733,13.238,Normal,Normal
C0313,L04,9.724,10.736,11.774,12.498,Normal,Normal
C0314,L04,10.931,11.808,13.115,14.352,Normal,Normal
C0315,L04,10.389,10.779,12.114,12.854,Normal,Normal
C0316,L04,10.474,11.11,11.768,12.69,Normal,Normal
C0317,L04,9.642,9.768,10.912,11.366,Normal,Normal
C0318,L04,10.095,10.71,12.077,13.309,Normal,Normal
C0319,L04,9.887,11.503,17.462,23.525,Gradual_Degradation,Anomaly
C0320,L04,9.373,9.943,10.985,11.278,Normal,Normal
C0321,L04,10.162,10.632,11.942,12.864,Normal,Normal
C0322,L04,9.816,11.976,16.04,21.168,Gradual_Degradation,Anomaly
C0323,L04,9.986,10.841,12.111,13.422,Normal,Normal
C0324,L04,10.177,10.458,11.688,13.178,Normal,Normal
C0325,L04,9.95,10.409,11.516,12.427,Normal,Normal
C0326,L04,9.58,11.211,17.405,25.134,Gradual_Degradation,Anomaly
C0327,L04,9.989,10.34,11.37,11.918,Normal,Normal
C0328,L04,9.119,9.413,24.547,30.063,Sudden_Degradation,Anomaly
C0329,L04,9.219,11.007,15.119,23.686,Gradual_Degradation,Anomaly
C0330,L04,9.333,18.748,27.518,43.847,Latent_Defect,Anomaly
C0331,L04,9.633,9.971,27.006,34.669,Sudden_Degradation,Anomaly
C0332,L04,9.852,11.913,16.251,24.337,Gradual_Degradation,Anomaly
C0333,L04,9.464,9.38,10.245,12.049,Normal,Normal
C0334,L04,10.885,11.178,12.184,12.893,Normal,Normal
C0335,L04,9.909,10.684,11.495,12.736,Normal,Normal
C0336,L04,9.645,10.043,11.08,12.73,Normal,Normal
C0337,L04,10.162,10.611,24.89,30.402,Sudden_Degradation,Anomaly
C0338,L04,10.159,12.146,17.852,25.775,Gradual_Degradation,Anomaly
C0339,L04,9.91,11.048,12.36,13.562,Normal,Normal
C0340,L04,10.655,17.087,29.313,40.437,Latent_Defect,Anomaly
C0341,L04,10.46,10.826,12.182,13.397,Normal,Normal
C0342,L04,10.383,10.844,11.99,12.651,Normal,Normal
C0343,L04,9.678,10.384,24.853,30.337,Sudden_Degradation,Anomaly
C0344,L04,9.727,10.124,23.213,28.637,Sudden_Degradation,Anomaly
C0345,L04,11.031,11.318,12.375,13.472,Normal,Normal
C0346,L04,10.261,10.762,11.443,12.614,Normal,Normal
C0347,L04,9.906,10.604,11.613,12.507,Normal,Normal
C0348,L04,10.896,11.441,26.83,31.477,Sudden_Degradation,Anomaly
C0349,L04,10.169,12.051,18.497,26.848,Gradual_Degradation,Anomaly
C0350,L04,9.848,11.066,14.369,21.761,Gradual_Degradation,Anomaly
C0351,L04,10.648,11.144,12.308,12.972,Normal,Normal
C0352,L04,9.717,10.135,11.62,12.491,Normal,Normal
C0353,L04,10.609,11.413,12.382,13.872,Normal,Normal
C0354,L04,10.019,10.546,11.192,12.667,Normal,Normal
C0355,L04,9.768,10.308,11.187,12.397,Normal,Normal
C0356,L04,9.745,10.401,11.439,13.214,Normal,Normal
C0357,L04,9.5,9.864,11.173,11.646,Normal,Normal
C0358,L04,10.362,10.995,12.118,13.022,Normal,Normal
C0359,L04,10.336,11.216,11.705,11.794,Normal,Normal
C0360,L04,10.07,10.791,11.63,12.594,Normal,Normal
C0361,L04,10.166,10.704,11.574,12.874,Normal,Normal
C0362,L04,10.098,12.225,16.476,25.562,Gradual_Degradation,Anomaly
C0363,L04,9.732,10.394,26.073,30.427,Sudden_Degradation,Anomaly
C0364,L04,9.545,10.063,11.057,11.936,Normal,Normal
C0365,L04,10.4,10.577,11.892,12.546,Normal,Normal
C0366,L04,10.214,10.894,11.863,12.795,Normal,Normal
C0367,L04,10.035,10.767,11.872,13.337,Normal,Normal
C0368,L04,10.133,12.389,17.541,26.542,Gradual_Degradation,Anomaly
C0369,L04,8.648,9.284,10.726,11.585,Normal,Normal
C0370,L04,10.443,10.989,12.473,13.999,Normal,Normal
C0371,L04,10.82,11.468,12.179,13.191,Normal,Normal
C0372,L04,9.872,9.891,10.928,12.149,Normal,Normal
C0373,L04,10.022,10.861,11.829,12.755,Normal,Normal
C0374,L04,9.78,9.839,10.71,11.433,Normal,Normal
C0375,L04,9.297,9.78,10.512,11.244,Normal,Normal
C0376,L04,9.898,10.399,11.306,12.005,Normal,Normal
C0377,L04,10.16,10.928,12.041,12.969,Normal,Normal
C0378,L04,9.61,10.072,10.976,11.657,Normal,Normal
C0379,L04,10.538,11.042,11.923,12.661,Normal,Normal
C0380,L04,9.311,9.44,10.52,11.723,Normal,Normal
C0381,L04,9.209,11.567,16.683,24.069,Gradual_Degradation,Anomaly
C0382,L04,9.646,10.214,10.569,11.281,Normal,Normal
C0383,L04,9.894,11.5,16.909,24.741,Gradual_Degradation,Anomaly
C0384,L04,10.613,11.345,12.315,13.323,Normal,Normal
C0385,L04,10.354,10.901,12.015,13.27,Normal,Normal
C0386,L04,10.029,10.38,11.37,12.287,Normal,Normal
C0387,L04,9.936,10.059,10.472,11.765,Normal,Normal
C0388,L04,10.428,12.943,17.426,27.201,Gradual_Degradation,Anomaly
C0389,L04,9.403,10.087,11.007,12.581,Normal,Normal
C0390,L04,10.264,10.862,25.593,31.404,Sudden_Degradation,Anomaly
C0391,L04,10.397,10.547,12.023,13.335,Normal,Normal
C0392,L04,9.507,10.303,10.971,11.885,Normal,Normal
C0393,L04,9.846,10.502,11.517,12.452,Normal,Normal
C0394,L04,9.294,10.036,10.531,11.209,Normal,Normal
C0395,L04,10.482,11.306,12.873,13.688,Normal,Normal
C0396,L04,9.977,10.248,11.412,12.414,Normal,Normal
C0397,L04,9.782,10.26,10.93,11.786,Normal,Normal
C0398,L04,9.098,9.527,25.921,30.587,Sudden_Degradation,Anomaly
C0399,L04,10.587,17.956,26.877,37.904,Latent_Defect,Anomaly
C0400,L04,10.264,10.357,11.876,13.769,Normal,Normal
C0401,L05,10.319,10.919,11.6,12.251,Normal,Normal
C0402,L05,9.369,15.504,23.546,39.041,Latent_Defect,Anomaly
C0403,L05,9.464,10.011,10.95,12.884,Normal,Normal
C0404,L05,10.146,10.826,11.457,12.656,Normal,Normal
C0405,L05,9.767,10.246,10.789,11.885,Normal,Normal
C0406,L05,10.133,10.987,26.603,31.211,Sudden_Degradation,Anomaly
C0407,L05,10.135,10.566,11.529,12.06,Normal,Normal
C0408,L05,9.993,10.571,22.025,28.287,Sudden_Degradation,Anomaly
C0409,L05,9.547,11.286,16.478,22.058,Gradual_Degradation,Anomaly
C0410,L05,11.358,11.804,26.694,31.98,Sudden_Degradation,Anomaly
C0411,L05,10.261,10.89,12.239,13.158,Normal,Normal
C0412,L05,9.932,10.633,11.83,12.908,Normal,Normal
C0413,L05,9.991,10.413,11.699,13.139,Normal,Normal
C0414,L05,9.795,10.146,10.958,12.303,Normal,Normal
C0415,L05,10.477,11.079,12.234,13.52,Normal,Normal
C0416,L05,10.211,11.973,17.924,26.633,Gradual_Degradation,Anomaly
C0417,L05,10.176,10.89,11.644,12.634,Normal,Normal
